trade_date,scope,level1_industry_name,turn_daily_std
2013-01-28,行业,石油石化,2.192655560720608
2013-01-28,行业,纺织服装,2.5213851436162984
2013-01-28,行业,综合,2.440090720322873
2013-01-28,行业,综合金融,6.518094295881274
2013-01-28,行业,计算机,2.956217453235105
2013-01-28,行业,轻工制造,2.5736790641744944
2013-01-28,行业,通信,2.3854985759811687
2013-01-28,行业,钢铁,0.87668341656951
2013-01-28,行业,银行,0.9138577744694921
2013-01-28,行业,非银行金融,2.4177223255652387
2013-01-28,行业,食品饮料,1.9143196574247685
2013-01-29,全A,全A,3.07394137898518
2013-01-29,行业,交通运输,1.5458435466481208
2013-01-29,行业,传媒,4.895474069234836
2013-01-29,行业,农林牧渔,3.5400554616863666
2013-01-29,行业,医药,2.539317106264633
2013-01-29,行业,商贸零售,1.8715719172007217
2013-01-29,行业,国防军工,3.592264340494697
2013-01-29,行业,基础化工,3.064430285846291
2013-01-29,行业,家电,1.657763081616077
2013-01-29,行业,建材,1.9340809429026835
2013-01-29,行业,建筑,3.5878487452221153
2013-01-29,行业,房地产,2.136836588652478
2013-01-29,行业,有色金属,2.929960137327786
2013-01-29,行业,机械,2.7344109005035557
2013-01-29,行业,汽车,2.357847048040899
2013-01-29,行业,消费者服务,1.6509986835541575
2013-01-29,行业,煤炭,1.1701247176255987
2013-01-29,行业,电力及公用事业,5.495542267106984
2013-01-29,行业,电力设备及新能源,2.7932961567391272
2013-01-29,行业,电子,2.58689676361195
2013-01-29,行业,石油石化,2.7014553102751018
2013-01-29,行业,纺织服装,1.6095121764202025
2013-01-29,行业,综合,2.265222699684662
2013-01-29,行业,综合金融,7.45241620904105
2013-01-29,行业,计算机,3.269191243955983
2013-01-29,行业,轻工制造,2.777301209848324
2013-01-29,行业,通信,3.9281790548892506
2013-01-29,行业,钢铁,1.072517913524669
2013-01-29,行业,银行,0.8437533525859319
2013-01-29,行业,非银行金融,3.1177139387588904
2013-01-29,行业,食品饮料,2.3143542819841696
2013-01-30,全A,全A,3.1208340674101733
2013-01-30,行业,交通运输,1.828099720159937
2013-01-30,行业,传媒,3.7091101774610853
2013-01-30,行业,农林牧渔,2.3737380016309517
2013-01-30,行业,医药,3.0921161110864426
2013-01-30,行业,商贸零售,1.6414772572241778
2013-01-30,行业,国防军工,4.845900287973112
2013-01-30,行业,基础化工,3.4725720255248578
2013-01-30,行业,家电,1.4342423650614908
2013-01-30,行业,建材,2.69698440242669
2013-01-30,行业,建筑,4.5642116987919055
2013-01-30,行业,房地产,2.37912572429953
2013-01-30,行业,有色金属,2.4435992141776053
2013-01-30,行业,机械,2.9808988536473944
2013-01-30,行业,汽车,2.3709921605405064
2013-01-30,行业,消费者服务,2.1456104191592837
2013-01-30,行业,煤炭,2.059392197279999
2013-01-30,行业,电力及公用事业,4.182771691169947
2013-01-30,行业,电力设备及新能源,2.6008077705343244
2013-01-30,行业,电子,2.780612927978766
2013-01-30,行业,石油石化,2.2350506923253026
2013-01-30,行业,纺织服装,3.488702854227909
2013-01-30,行业,综合,2.1554890791264363
2013-01-30,行业,综合金融,9.373276735233938
2013-01-30,行业,计算机,3.9474517463042362
2013-01-30,行业,轻工制造,2.26648411893213
2013-01-30,行业,通信,2.7060831239082206
2013-01-30,行业,钢铁,1.032987315302685
2013-01-30,行业,银行,0.6148258832113908
2013-01-30,行业,非银行金融,4.098966597484523
2013-01-30,行业,食品饮料,2.412137170132257
2013-01-31,全A,全A,2.8933769720732827
2013-01-31,行业,交通运输,1.8530465590021938
2013-01-31,行业,传媒,2.572236665957271
2013-01-31,行业,农林牧渔,3.1919120698546855
2013-01-31,行业,医药,2.6722404517268425
2013-01-31,行业,商贸零售,1.7527758641091304
2013-01-31,行业,国防军工,3.7737679678183675
